gelma_concentration,cure_adhesive,adhesive_concentration,light_cure_time,groove_angle,maxMises,maxPrincipal,minPrincipal,convergence
0.1000 ,LAP,0.0025 ,30,0,34890.9400 ,39004.3300 ,-5287.3600 ,TRUE
0.1000 ,LAP,0.0025 ,30,5,35123.9700 ,39035.9100 ,-4331.6300 ,TRUE
0.1000 ,LAP,0.0025 ,30,10,8018.8100 ,9049.1000 ,-1278.2100 ,FALSE
0.1000 ,LAP,0.0025 ,30,15,21165.6500 ,23353.6600 ,-2752.4700 ,FALSE
0.1000 ,LAP,0.0025 ,30,20,36314.8000 ,38649.1400 ,-5237.9200 ,TRUE
0.1000 ,LAP,0.0025 ,30,25,36640.1900 ,38325.9600 ,-4385.2700 ,TRUE
0.1000 ,LAP,0.0025 ,30,30,26907.6200 ,27564.1200 ,-4070.9400 ,FALSE
0.1000 ,LAP,0.0025 ,30,35,36153.0200 ,37911.5500 ,-4982.9800 ,TRUE
0.1000 ,LAP,0.0025 ,30,40,35359.8900 ,36111.2900 ,-3337.1600 ,TRUE
0.1000 ,LAP,0.0025 ,30,45,31414.3000 ,31562.2900 ,-3957.4700 ,FALSE
0.1000 ,LAP,0.0025 ,30,50,32614.4900 ,33712.9300 ,-4301.0000 ,TRUE
0.1000 ,LAP,0.0025 ,30,55,30866.9300 ,30723.9400 ,-3974.9000 ,TRUE
0.1000 ,LAP,0.0025 ,30,60,28834.0300 ,28880.3100 ,-3463.0100 ,TRUE
0.1000 ,LAP,0.0025 ,30,65,26208.0000 ,26591.6900 ,-2422.1100 ,TRUE
0.1000 ,LAP,0.0025 ,30,70,23978.2300 ,26161.3300 ,-1974.4300 ,TRUE
0.1000 ,LAP,0.0025 ,30,75,21000.1700 ,24068.2200 ,-1561.4400 ,FALSE
0.1000 ,LAP,0.0025 ,30,80,21354.1200 ,24534.0000 ,-1371.1800 ,TRUE
0.1000 ,LAP,0.0025 ,30,85,21042.1400 ,24060.1800 ,-1246.7000 ,TRUE
0.1000 ,LAP,0.0025 ,30,90,21159.9100 ,23365.0800 ,-1119.4500 ,TRUE
0.1000 ,LAP,0.0025 ,50,0,146067.5600 ,163287.8600 ,-22135.0100 ,TRUE
0.1000 ,LAP,0.0025 ,50,5,147043.1400 ,163420.0800 ,-18133.9700 ,TRUE
0.1000 ,LAP,0.0025 ,50,10,33569.9700 ,37883.1800 ,-5351.0900 ,FALSEALTER
0.1000 ,LAP,0.0025 ,50,15,88607.9500 ,97767.8700 ,-11522.9400 ,FALSE
0.1000 ,LAP,0.0025 ,50,20,152028.4100 ,161800.9100 ,-21928.0300 ,TRUE
0.1000 ,LAP,0.0025 ,50,25,153390.6400 ,160447.9500 ,-18358.5200 ,TRUE
0.1000 ,LAP,0.0025 ,50,30,112646.1800 ,115394.5200 ,-17042.5800 ,FALSE
0.1000 ,LAP,0.0025 ,50,35,151351.1400 ,158713.0500 ,-20860.7800 ,TRUE
0.1000 ,LAP,0.0025 ,50,40,148030.8100 ,151176.4200 ,-13970.7000 ,TRUE
0.1000 ,LAP,0.0025 ,50,45,131512.9400 ,132132.5200 ,-16567.5800 ,FALSE
0.1000 ,LAP,0.0025 ,50,50,136537.4200 ,141135.9200 ,-18005.7300 ,TRUE
0.1000 ,LAP,0.0025 ,50,55,129221.4300 ,128622.8200 ,-16640.5200 ,TRUE
0.1000 ,LAP,0.0025 ,50,60,120710.9000 ,120904.6400 ,-14497.5500 ,TRUE
0.1000 ,LAP,0.0025 ,50,65,109717.2500 ,111323.5700 ,-10139.9500 ,TRUE
0.1000 ,LAP,0.0025 ,50,70,100382.5500 ,109521.9100 ,-8265.7600 ,TRUE
0.1000 ,LAP,0.0025 ,50,75,87915.2000 ,100759.2800 ,-6536.8100 ,FALSE
0.1000 ,LAP,0.0025 ,50,80,89396.9800 ,102709.2400 ,-5740.3000 ,TRUE
0.1000 ,LAP,0.0025 ,50,85,88090.9100 ,100725.6400 ,-5219.1800 ,TRUE
0.1000 ,LAP,0.0025 ,50,90,88583.9400 ,97815.6600 ,-4686.4700 ,TRUE
0.1000 ,LAP,0.0025 ,70,0,58049.5900 ,64893.2100 ,-8796.8100 ,TRUE
0.1000 ,LAP,0.0025 ,70,5,58437.3000 ,64945.7600 ,-7206.7300 ,TRUE
0.1000 ,LAP,0.0025 ,70,10,13341.2400 ,15055.3900 ,-2126.6100 ,FALSE
0.1000 ,LAP,0.0025 ,70,15,35214.2200 ,38854.5200 ,-4579.4000 ,FALSE
0.1000 ,LAP,0.0025 ,70,20,60418.5300 ,64302.2700 ,-8714.5500 ,TRUE
0.1000 ,LAP,0.0025 ,70,25,60959.9000 ,63764.6000 ,-7295.9700 ,TRUE
0.1000 ,LAP,0.0025 ,70,30,44767.4000 ,45859.6400 ,-6773.0000 ,FALSE
0.1000 ,LAP,0.0025 ,70,35,60149.3800 ,63075.1100 ,-8290.4100 ,TRUE
0.1000 ,LAP,0.0025 ,70,40,58829.8200 ,60079.9300 ,-5552.1800 ,TRUE
0.1000 ,LAP,0.0025 ,70,45,52265.3500 ,52511.5900 ,-6584.2200 ,FALSE
0.1000 ,LAP,0.0025 ,70,50,54262.1600 ,56089.6800 ,-7155.7700 ,TRUE
0.1000 ,LAP,0.0025 ,70,55,51354.6700 ,51116.7700 ,-6613.2100 ,TRUE
0.1000 ,LAP,0.0025 ,70,60,47972.4500 ,48049.4500 ,-5761.5600 ,TRUE
0.1000 ,LAP,0.0025 ,70,65,43603.4000 ,44241.7700 ,-4029.7800 ,TRUE
0.1000 ,LAP,0.0025 ,70,70,39893.6400 ,43525.7700 ,-3284.9500 ,TRUE
0.1000 ,LAP,0.0025 ,70,75,34938.9100 ,40043.3500 ,-2597.8300 ,FALSE
0.1000 ,LAP,0.0025 ,70,80,35527.8000 ,40818.3000 ,-2281.2900 ,TRUE
0.1000 ,LAP,0.0025 ,70,85,35008.7400 ,40029.9900 ,-2074.1900 ,TRUE
0.1000 ,LAP,0.0025 ,70,90,35204.6800 ,38873.5200 ,-1862.4800 ,TRUE
0.1000 ,LAP,0.0025 ,90,0,52010.2700 ,58141.9000 ,-7881.6100 ,TRUE
0.1000 ,LAP,0.0025 ,90,5,52357.6400 ,58188.9800 ,-6456.9600 ,TRUE
0.1000 ,LAP,0.0025 ,90,10,11953.2600 ,13489.0600 ,-1905.3600 ,FALSE
0.1000 ,LAP,0.0025 ,90,15,31550.6300 ,34812.2000 ,-4102.9700 ,FALSE
0.1000 ,LAP,0.0025 ,90,20,54132.7500 ,57612.4400 ,-7807.9100 ,TRUE
0.1000 ,LAP,0.0025 ,90,25,54617.8000 ,57130.7000 ,-6536.9200 ,TRUE
0.1000 ,LAP,0.0025 ,90,30,40109.9200 ,41088.5200 ,-6068.3500 ,FALSE
0.1000 ,LAP,0.0025 ,90,35,53891.6000 ,56512.9500 ,-7427.9000 ,TRUE
0.1000 ,LAP,0.0025 ,90,40,52709.3200 ,53829.3800 ,-4974.5500 ,TRUE
0.1000 ,LAP,0.0025 ,90,45,46827.8100 ,47048.4200 ,-5899.2200 ,FALSE
0.1000 ,LAP,0.0025 ,90,50,48616.8700 ,50254.2600 ,-6411.3000 ,TRUE
0.1000 ,LAP,0.0025 ,90,55,46011.8700 ,45798.7200 ,-5925.1900 ,TRUE
0.1000 ,LAP,0.0025 ,90,60,42981.5200 ,43050.5100 ,-5162.1400 ,TRUE
0.1000 ,LAP,0.0025 ,90,65,39067.0200 ,39638.9800 ,-3610.5300 ,TRUE
0.1000 ,LAP,0.0025 ,90,70,35743.2100 ,38997.4600 ,-2943.1900 ,TRUE
0.1000 ,LAP,0.0025 ,90,75,31303.9600 ,35877.3600 ,-2327.5600 ,FALSE
0.1000 ,LAP,0.0025 ,90,80,31831.5800 ,36571.6800 ,-2043.9500 ,TRUE
0.1000 ,LAP,0.0025 ,90,85,31366.5200 ,35865.3800 ,-1858.3900 ,TRUE
0.1000 ,LAP,0.0025 ,90,90,31542.0800 ,34829.2100 ,-1668.7100 ,TRUE
0.1250 ,LAP,0.0025 ,30,0,60466.1600 ,67594.6900 ,-9163.0100 ,TRUE
0.1250 ,LAP,0.0025 ,30,5,60870.0100 ,67649.4100 ,-7506.7400 ,TRUE
0.1250 ,LAP,0.0025 ,30,10,13896.6300 ,15682.1300 ,-2215.1400 ,FALSE
0.1250 ,LAP,0.0025 ,30,15,36680.1800 ,40472.0100 ,-4770.0400 ,FALSE
0.1250 ,LAP,0.0025 ,30,20,62933.7200 ,66979.1400 ,-9077.3300 ,TRUE
0.1250 ,LAP,0.0025 ,30,25,63497.6300 ,66419.0800 ,-7599.7000 ,TRUE
0.1250 ,LAP,0.0025 ,30,30,46631.0400 ,47768.7500 ,-7054.9500 ,FALSE
0.1250 ,LAP,0.0025 ,30,35,62653.3500 ,65700.8900 ,-8635.5300 ,TRUE
0.1250 ,LAP,0.0025 ,30,40,61278.8800 ,62581.0300 ,-5783.3200 ,TRUE
0.1250 ,LAP,0.0025 ,30,45,54441.1300 ,54697.6100 ,-6858.3200 ,FALSE
0.1250 ,LAP,0.0025 ,30,50,56521.0700 ,58424.6600 ,-7453.6600 ,TRUE
0.1250 ,LAP,0.0025 ,30,55,53492.5400 ,53244.7400 ,-6888.5200 ,TRUE
0.1250 ,LAP,0.0025 ,30,60,49969.5100 ,50049.7100 ,-6001.4100 ,TRUE
0.1250 ,LAP,0.0025 ,30,65,45418.5800 ,46083.5400 ,-4197.5300 ,TRUE
0.1250 ,LAP,0.0025 ,30,70,41554.3900 ,45337.7100 ,-3421.7000 ,TRUE
0.1250 ,LAP,0.0025 ,30,75,36393.3900 ,41710.3400 ,-2705.9800 ,FALSE
0.1250 ,LAP,0.0025 ,30,80,37006.8000 ,42517.5400 ,-2376.2600 ,TRUE
0.1250 ,LAP,0.0025 ,30,85,36466.1300 ,41696.4100 ,-2160.5300 ,TRUE
0.1250 ,LAP,0.0025 ,30,90,36670.2300 ,40491.8000 ,-1940.0100 ,TRUE
0.1250 ,LAP,0.0025 ,50,0,78046.8300 ,87247.9800 ,-11827.1800 ,TRUE
0.1250 ,LAP,0.0025 ,50,5,78568.0900 ,87318.6300 ,-9689.3500 ,TRUE
0.1250 ,LAP,0.0025 ,50,10,17937.1100 ,20241.7500 ,-2859.1900 ,FALSE
0.1250 ,LAP,0.0025 ,50,15,47345.0100 ,52239.3300 ,-6156.9400 ,FALSE
0.1250 ,LAP,0.0025 ,50,20,81231.8400 ,86453.4700 ,-11716.5900 ,TRUE
0.1250 ,LAP,0.0025 ,50,25,81959.7000 ,85730.5700 ,-9809.3300 ,TRUE
0.1250 ,LAP,0.0025 ,50,30,60189.1100 ,61657.6100 ,-9106.2000 ,FALSE
0.1250 ,LAP,0.0025 ,50,35,80869.9600 ,84803.5600 ,-11146.3300 ,TRUE
0.1250 ,LAP,0.0025 ,50,40,79095.8400 ,80776.5900 ,-7464.8300 ,TRUE
0.1250 ,LAP,0.0025 ,50,45,70270.0000 ,70601.0500 ,-8852.3900 ,FALSE
0.1250 ,LAP,0.0025 ,50,50,72954.6900 ,75411.7600 ,-9620.8300 ,TRUE
0.1250 ,LAP,0.0025 ,50,55,69045.6100 ,68725.7600 ,-8891.3700 ,TRUE
0.1250 ,LAP,0.0025 ,50,60,64498.2500 ,64601.7800 ,-7746.3300 ,TRUE
0.1250 ,LAP,0.0025 ,50,65,58624.1300 ,59482.4200 ,-5417.9800 ,TRUE
0.1250 ,LAP,0.0025 ,50,70,53636.4100 ,58519.7500 ,-4416.5600 ,TRUE
0.1250 ,LAP,0.0025 ,50,75,46974.8600 ,53837.7100 ,-3492.7500 ,FALSE
0.1250 ,LAP,0.0025 ,50,80,47766.6100 ,54879.6100 ,-3067.1600 ,TRUE
0.1250 ,LAP,0.0025 ,50,85,47068.7300 ,53819.7300 ,-2788.7100 ,TRUE
0.1250 ,LAP,0.0025 ,50,90,47332.1800 ,52264.8700 ,-2504.0700 ,TRUE
0.1250 ,LAP,0.0025 ,70,0,74398.2300 ,83169.2300 ,-11274.2700 ,TRUE
0.1250 ,LAP,0.0025 ,70,5,74895.1200 ,83236.5800 ,-9236.3800 ,TRUE
0.1250 ,LAP,0.0025 ,70,10,17098.5700 ,19295.4700 ,-2725.5300 ,FALSE
0.1250 ,LAP,0.0025 ,70,15,45131.6900 ,49797.2000 ,-5869.1100 ,FALSE
0.1250 ,LAP,0.0025 ,70,20,77434.3400 ,82411.8700 ,-11168.8500 ,TRUE
0.1250 ,LAP,0.0025 ,70,25,78128.1700 ,81722.7600 ,-9350.7500 ,TRUE
0.1250 ,LAP,0.0025 ,70,30,57375.3400 ,58775.1800 ,-8680.4900 ,FALSE
0.1250 ,LAP,0.0025 ,70,35,77089.3800 ,80839.0900 ,-10625.2500 ,TRUE
0.1250 ,LAP,0.0025 ,70,40,75398.2000 ,77000.3800 ,-7115.8500 ,TRUE
0.1250 ,LAP,0.0025 ,70,45,66984.9500 ,67300.5400 ,-8438.5500 ,FALSE
0.1250 ,LAP,0.0025 ,70,50,69544.1400 ,71886.3400 ,-9171.0600 ,TRUE
0.1250 ,LAP,0.0025 ,70,55,65817.8000 ,65512.9000 ,-8475.7000 ,TRUE
0.1250 ,LAP,0.0025 ,70,60,61483.0300 ,61581.7200 ,-7384.2000 ,TRUE
0.1250 ,LAP,0.0025 ,70,65,55883.5200 ,56701.6800 ,-5164.6900 ,TRUE
0.1250 ,LAP,0.0025 ,70,70,51128.9600 ,55784.0200 ,-4210.0900 ,TRUE
0.1250 ,LAP,0.0025 ,70,75,44778.8300 ,51320.8500 ,-3329.4700 ,FALSE
0.1250 ,LAP,0.0025 ,70,80,45533.5700 ,52314.0500 ,-2923.7700 ,TRUE
0.1250 ,LAP,0.0025 ,70,85,44868.3200 ,51303.7200 ,-2658.3400 ,TRUE
0.1250 ,LAP,0.0025 ,70,90,45119.4500 ,49821.5400 ,-2387.0100 ,TRUE
0.1250 ,LAP,0.0025 ,90,0,100083.7400 ,111882.8900 ,-15166.6400 ,TRUE
0.1250 ,LAP,0.0025 ,90,5,100752.1900 ,111973.4800 ,-12425.1800 ,TRUE
0.1250 ,LAP,0.0025 ,90,10,23001.7400 ,25957.1100 ,-3666.5000 ,FALSE
0.1250 ,LAP,0.0025 ,90,15,60713.1100 ,66989.3800 ,-7895.3800 ,FALSE
0.1250 ,LAP,0.0025 ,90,20,104168.0500 ,110864.0400 ,-15024.8300 ,TRUE
0.1250 ,LAP,0.0025 ,90,25,105101.4400 ,109937.0300 ,-12579.0400 ,TRUE
0.1250 ,LAP,0.0025 ,90,30,77183.8200 ,79066.9500 ,-11677.3800 ,FALSE
0.1250 ,LAP,0.0025 ,90,35,103704.0000 ,108748.2800 ,-14293.5600 ,TRUE
0.1250 ,LAP,0.0025 ,90,40,101428.9500 ,103584.2700 ,-9572.5600 ,TRUE
0.1250 ,LAP,0.0025 ,90,45,90111.0900 ,90535.6200 ,-11351.9100 ,FALSE
0.1250 ,LAP,0.0025 ,90,50,93553.8000 ,96704.6400 ,-12337.3100 ,TRUE
0.1250 ,LAP,0.0025 ,90,55,88540.9800 ,88130.8100 ,-11401.8900 ,TRUE
0.1250 ,LAP,0.0025 ,90,60,82709.6600 ,82842.4100 ,-9933.5500 ,TRUE
0.1250 ,LAP,0.0025 ,90,65,75176.9500 ,76277.5800 ,-6947.7700 ,TRUE
0.1250 ,LAP,0.0025 ,90,70,68780.9200 ,75043.1000 ,-5663.6000 ,TRUE
0.1250 ,LAP,0.0025 ,90,75,60238.4400 ,69039.0500 ,-4478.9400 ,FALSE
0.1250 ,LAP,0.0025 ,90,80,61253.7400 ,70375.1400 ,-3933.1900 ,TRUE
0.1250 ,LAP,0.0025 ,90,85,60358.8300 ,69016.0100 ,-3576.1200 ,TRUE
0.1250 ,LAP,0.0025 ,90,90,60696.6600 ,67022.1200 ,-3211.1100 ,TRUE
0.1500 ,LAP,0.0025 ,30,0,92771.7000 ,103708.8200 ,-14058.5800 ,TRUE
0.1500 ,LAP,0.0025 ,30,5,93391.3100 ,103792.7900 ,-11517.4100 ,TRUE
0.1500 ,LAP,0.0025 ,30,10,21321.2500 ,24060.7000 ,-3398.6300 ,FALSE
0.1500 ,LAP,0.0025 ,30,15,56277.4600 ,62095.1800 ,-7318.5500 ,FALSE
0.1500 ,LAP,0.0025 ,30,20,96557.6200 ,102764.4100 ,-13927.1200 ,TRUE
0.1500 ,LAP,0.0025 ,30,25,97422.8100 ,101905.1200 ,-11660.0200 ,TRUE
0.1500 ,LAP,0.0025 ,30,30,71544.8400 ,73290.3800 ,-10824.2400 ,FALSE
0.1500 ,LAP,0.0025 ,30,35,96127.4700 ,100803.2200 ,-13249.2800 ,TRUE
0.1500 ,LAP,0.0025 ,30,40,94018.6200 ,96016.4900 ,-8873.1900 ,TRUE
0.1500 ,LAP,0.0025 ,30,45,83527.6600 ,83921.1600 ,-10522.5500 ,FALSE
0.1500 ,LAP,0.0025 ,30,50,86718.8400 ,89639.4800 ,-11435.9600 ,TRUE
0.1500 ,LAP,0.0025 ,30,55,82072.2500 ,81692.0500 ,-10568.8800 ,TRUE
0.1500 ,LAP,0.0025 ,30,60,76666.9600 ,76790.0200 ,-9207.8100 ,TRUE
0.1500 ,LAP,0.0025 ,30,65,69684.5900 ,70704.8000 ,-6440.1700 ,TRUE
0.1500 ,LAP,0.0025 ,30,70,63755.8400 ,69560.5200 ,-5249.8200 ,TRUE
0.1500 ,LAP,0.0025 ,30,75,55837.4700 ,63995.1200 ,-4151.7100 ,FALSE
0.1500 ,LAP,0.0025 ,30,80,56778.5900 ,65233.6000 ,-3645.8300 ,TRUE
0.1500 ,LAP,0.0025 ,30,85,55949.0600 ,63973.7500 ,-3314.8500 ,TRUE
0.1500 ,LAP,0.0025 ,30,90,56262.2100 ,62125.5400 ,-2976.5100 ,TRUE
0.1500 ,LAP,0.0025 ,50,0,112210.1800 ,125438.9500 ,-17004.2800 ,TRUE
0.1500 ,LAP,0.0025 ,50,5,112959.6200 ,125540.5200 ,-13930.6500 ,TRUE
0.1500 ,LAP,0.0025 ,50,10,25788.7000 ,29102.1400 ,-4110.7400 ,FALSE
0.1500 ,LAP,0.0025 ,50,15,68069.2900 ,75106.0000 ,-8852.0100 ,FALSE
0.1500 ,LAP,0.0025 ,50,20,116789.3600 ,124296.6600 ,-16845.2800 ,TRUE
0.1500 ,LAP,0.0025 ,50,25,117835.8400 ,123257.3200 ,-14103.1500 ,TRUE
0.1500 ,LAP,0.0025 ,50,30,86535.6300 ,88646.9300 ,-13092.2400 ,FALSE
0.1500 ,LAP,0.0025 ,50,35,116269.0800 ,121924.5400 ,-16025.4100 ,TRUE
0.1500 ,LAP,0.0025 ,50,40,113718.3700 ,116134.8400 ,-10732.4000 ,TRUE
0.1500 ,LAP,0.0025 ,50,45,101029.2200 ,101505.1800 ,-12727.3400 ,FALSE
0.1500 ,LAP,0.0025 ,50,50,104889.0500 ,108421.6600 ,-13832.1400 ,TRUE
0.1500 ,LAP,0.0025 ,50,55,99268.8600 ,98809.0100 ,-12783.3700 ,TRUE
0.1500 ,LAP,0.0025 ,50,60,92731.0100 ,92879.8400 ,-11137.1200 ,TRUE
0.1500 ,LAP,0.0025 ,50,65,84285.6100 ,85519.5900 ,-7789.5800 ,TRUE
0.1500 ,LAP,0.0025 ,50,70,77114.6200 ,84135.5400 ,-6349.8200 ,TRUE
0.1500 ,LAP,0.0025 ,50,75,67537.1100 ,77404.0300 ,-5021.6200 ,FALSE
0.1500 ,LAP,0.0025 ,50,80,68675.4300 ,78902.0100 ,-4409.7400 ,TRUE
0.1500 ,LAP,0.0025 ,50,85,67672.0800 ,77378.1900 ,-4009.4100 ,TRUE
0.1500 ,LAP,0.0025 ,50,90,68050.8400 ,75142.7200 ,-3600.1800 ,TRUE
0.1500 ,LAP,0.0025 ,70,0,140614.5200 ,157191.9500 ,-21308.6500 ,TRUE
0.1500 ,LAP,0.0025 ,70,5,141553.6600 ,157319.2200 ,-17456.9900 ,TRUE
0.1500 ,LAP,0.0025 ,70,10,32316.7200 ,36468.9200 ,-5151.3200 ,FALSE
0.1500 ,LAP,0.0025 ,70,15,85300.0100 ,94117.9600 ,-11092.7600 ,FALSE
0.1500 ,LAP,0.0025 ,70,20,146352.8300 ,155760.5000 ,-21109.4100 ,TRUE
0.1500 ,LAP,0.0025 ,70,25,147664.2200 ,154458.0600 ,-17673.1500 ,TRUE
0.1500 ,LAP,0.0025 ,70,30,108440.8300 ,111086.5800 ,-16406.3500 ,FALSE
0.1500 ,LAP,0.0025 ,70,35,145700.8400 ,152787.9200 ,-20082.0000 ,TRUE
0.1500 ,LAP,0.0025 ,70,40,142504.4800 ,145532.6600 ,-13449.1400 ,TRUE
0.1500 ,LAP,0.0025 ,70,45,126603.2600 ,127199.7000 ,-15949.0800 ,FALSE
0.1500 ,LAP,0.0025 ,70,50,131440.1600 ,135866.9800 ,-17333.5400 ,TRUE
0.1500 ,LAP,0.0025 ,70,55,124397.3000 ,123821.0200 ,-16019.2900 ,TRUE
0.1500 ,LAP,0.0025 ,70,60,116204.4700 ,116390.9800 ,-13956.3200 ,TRUE
0.1500 ,LAP,0.0025 ,70,65,105621.2500 ,107167.6000 ,-9761.4000 ,TRUE
