gelma_concentration,cure_adhesive,adhesive_concentration,light_cure_time,print_speed (mm/min),size_of_tip,thickness (mm),Tensile_Strength,Young's_Modulus/100,Young's_Modulus,Tensile_Strength,Young's_Modulus/100,Young's_Modulus,Tensile_Strength,Young's_Modulus/100,Young's_Modulus,Tensile_Strength,Young's_Modulus/100,Young's_Modulus,Tensile_Strength,Young's_Modulus/100,Young's_Modulus,Tensile_Strength,Young's_Modulus/100,Young's_Modulus,Average_Tensile_Strength,STD_Tensile_Strength,Average_Young's_Modulus,STD_Young's_Modulus,Self-renewal(discrete),Ectoderm(discrete),Mesoderm(discrete),Endoderm(discrete),Self-renewal,Ectoderm,Mesoderm,Endoderm
0.1,I2959,0.0025,30,1500,27G,2,7.41562893,0.222403468,22.24034675,6.0229,0.2624,26.2386,6.7734,0.2424,24.2395,9.7217,0.2699,26.9905,8.9469,0.2824,28.2377,10.9088,0.2974,29.7371,8.2982,1.8731,26.2806,2.7119,,,,,,,,
0.1,I2959,0.0025,50,1500,27G,2,17.53150943,0.402272403,40.22724028,15.6696,0.3723,37.2251,18.5062,0.4022,40.2246,19.156,0.3198,31.9832,15.6072,0.3824,38.2351,14.495,0.4098,40.9837,16.8276,1.8442,38.1465,3.3329,,,,,,,,
0.1,I2959,0.0025,70,1500,27G,2,48.38347484,0.839402318,83.94023182,57.7087,0.7794,77.9374,56.4148,0.8694,86.9381,48.1211,0.7844,78.4442,59.3888,0.8144,81.442,56.3932,0.7794,77.9445,54.4017,4.8886,81.1077,3.7224,,,,,,,,
0.1,I2959,0.0025,90,1500,27G,2,117.0850157,0.864672952,86.46729523,117.8529,0.8656,86.5617,105.7923,0.9026,90.2586,106.7306,0.9151,91.5066,108.714,0.8487,84.8662,121.905,0.936,93.6024,113.0133,6.7699,88.8771,3.4178,,,,,,,,
0.125,I2959,0.0025,30,1500,27G,2,11.92173055,0.402153619,40.21536188,11.9113,0.4018,40.1832,12.0122,0.3413,34.1296,11.1215,0.3619,36.1922,12.1531,0.3813,38.1322,8.1039,0.3913,39.126,11.204,1.5612,37.9964,2.4169,,,,,,,,
0.125,I2959,0.0025,50,1500,27G,2,19.25592767,0.570490407,57.04904073,26.6284,0.5407,54.0728,24.3417,0.6242,62.4209,23.5919,0.5991,59.9114,26.1979,0.6617,66.1661,27.7939,0.4619,46.1914,24.635,3.0497,57.6353,6.9979,,,,,,,,
0.125,I2959,0.0025,70,1500,27G,2,59.69860063,0.933648896,93.36488962,56.1558,0.9213,92.1273,64.7972,0.8545,85.4491,57.8087,0.8128,81.2764,61.6608,0.8087,80.8681,64.7972,0.8545,85.4534,60.8197,3.5895,86.4232,5.2908,,,,,,,,
0.125,I2959,0.0025,90,1500,27G,2,113.7429874,1.068282625,106.8282625,109.1405,1.1527,115.2697,107.1203,0.9278,92.7808,120.8077,1.0933,109.3342,121.5696,1.0152,101.5244,117.5439,0.8591,85.9082,114.9875,6.0227,101.9409,10.9301,,,,,,,,
0.15,I2959,0.0025,30,1500,27G,2,25.047193,0.521096714,52.10967144,30.1945,0.6173,61.732,26.02,0.5519,55.1914,24.1073,0.5904,59.042,28.0412,0.5104,51.0439,24.1092,0.5804,58.042,26.2532,2.4265,56.1935,4.1571,,,,,,,,
0.15,I2959,0.0025,50,1500,27G,2,45.01331927,0.801225918,80.12259184,41.0918,0.7419,74.1937,39.0191,0.8219,82.1899,42.011,0.8409,84.0901,47.1893,0.8509,85.091,38.0122,0.9803,98.0304,42.0561,3.5101,83.953,7.9058,,,,,,,,
0.15,I2959,0.0025,70,1500,27G,2,91.10448239,1.021529884,102.1529884,85.0219,1.1341,113.4092,82.9434,1.2905,129.0457,85.2977,1.211,121.0985,77.0918,1.1088,110.8841,98.0342,1.1245,112.4488,86.5823,7.1971,114.8399,9.2233,,,,,,,,
0.15,I2959,0.0025,90,1500,27G,2,126.0911735,1.20156631,120.156631,115.642,1.1905,119.0483,127.8825,1.3408,134.082,131.2048,1.3919,139.1945,129.1967,1.2419,124.1944,144.0905,1.3309,133.0917,129.0179,9.1735,128.2946,8.2927,,,,,,,,
0.175,I2959,0.0025,30,1500,27G,2,51.09337129,0.75613019,75.613019,48.0319,0.6635,66.3519,39.1205,0.7908,79.0839,57.2934,0.6136,61.359,47.1933,0.8019,80.1948,55.1938,0.7412,74.1234,49.6544,6.4925,72.7877,7.4338,,,,,,,,
0.175,I2959,0.0025,50,1500,27G,2,82.197159,1.13013482,113.013482,85.0304,1.0591,105.9145,95.1092,0.9532,95.3195,91.1935,1.0134,101.3381,95.1091,0.8975,89.7541,77.963,0.9182,91.8247,87.7671,7.13,99.5274,8.9275,,,,,,,,
0.175,I2959,0.0025,70,1500,27G,2,125.193302,1.22091436,122.091436,109.4185,1.3348,133.4788,114.5034,1.392,139.195,119.2781,1.5159,151.5923,104.1922,1.318,131.803,119.3398,1.2905,129.0541,115.3209,7.5978,134.5358,10.0611,,,,,,,,
0.175,I2959,0.0025,90,1500,27G,2,166.191842,1.8155293,181.55293,171.032,1.9303,193.0277,159.8202,2.0342,203.4192,184.8024,2.141,214.0984,176.1937,1.7568,175.6825,167.0934,1.8599,185.9903,170.8556,8.7261,192.2952,14.3582,,,,,,,,
0.1,I2959,0.005,30,1500,27G,2,27.01010535,0.367357678,36.73576784,32.5014,0.4411,44.1079,28.8436,0.4511,45.1075,32.6139,0.4186,41.8588,25.7753,0.3686,36.8607,20.146,0.413,41.3024,27.815,4.6834,40.9955,3.5405,,,,,,,,
0.1,I2959,0.005,50,1500,27G,2,33.32611635,0.459757941,45.97579413,49.365,0.4848,48.485,45.9434,0.5122,51.222,38.9992,0.5032,50.322,43.4352,0.4298,42.9773,46.9715,0.3948,39.4792,43.0067,5.9115,46.4102,4.5337,,,,,,,,
0.1,I2959,0.005,70,1500,27G,2,96.97938679,0.96142954,96.14295398,116.6976,0.8449,84.4893,120.218,0.9075,90.7545,106.1513,0.8116,81.1596,109.4376,0.8948,89.4837,101.4963,0.8964,89.6424,108.4967,8.8621,88.6121,5.2089,,,,,,,,
0.1,I2959,0.005,90,1500,27G,2,157.0735849,1.104468515,110.4468515,138.0472,1.1598,115.9781,141.5687,1.208,120.7957,141.5698,1.1616,116.1565,122.9842,1.1526,115.2644,148.3119,1.1208,112.0768,141.5926,11.346,115.1197,3.6095,,,,,,,,
0.125,I2959,0.005,30,1500,27G,2,30.6520283,0.766168141,76.61681407,21.8925,0.7112,71.1152,27.6031,0.6621,66.2069,21.2178,0.5455,54.5544,22.4452,0.6522,65.2174,23.1265,0.6231,62.3051,24.4895,3.7724,66.0026,7.5391,,,,,,,,
0.125,I2959,0.005,50,1500,27G,2,60.22943396,1.04263906,104.263906,73.175,1.0401,104.0139,62.6411,0.9976,99.7621,73.952,0.9951,99.5121,70.4759,1.0776,107.7643,83.5964,0.9051,90.511,70.6783,8.4575,100.9712,5.9875,,,,,,,,
0.125,I2959,0.005,70,1500,27G,2,117.3735692,1.599639302,159.9639302,114.1827,1.4028,140.2809,111.6596,1.2904,129.0356,127.7303,1.3528,135.282,129.5103,1.3466,134.6571,118.104,1.2747,127.4713,119.7601,7.263,137.7818,11.8077,,,,,,,,
0.125,I2959,0.005,90,1500,27G,2,132.7296698,1.665248948,166.5248948,130.7872,1.5779,157.7904,135.1459,1.4965,149.6537,134.3712,1.6559,165.5876,136.4886,1.5497,154.974,144.3609,1.3904,139.0401,135.6473,4.7042,155.5951,10.3333,,,,,,,,
0.15,I2959,0.005,30,1500,27G,2,72.10045728,0.913821034,91.38210344,69.1043,0.8819,88.1924,68.4403,0.8043,80.4311,71.0212,0.8541,85.4109,62.0954,0.8209,82.0891,60.1092,0.9247,92.4711,67.1452,4.901,86.6628,4.8922,,,,,,,,
0.15,I2959,0.005,50,1500,27G,2,92.157103,1.12419255,112.419255,99.8044,1.1819,118.1934,81.9706,0.9832,98.3173,102.1944,1.1533,115.3342,95.0405,1.092,109.1987,94.3208,1.1431,114.3056,94.248,7.0677,111.2947,7.0292,,,,,,,,
0.15,I2959,0.005,70,1500,27G,2,135.013914,1.85413302,185.413302,118.1956,1.7691,176.9105,126.1905,1.7165,171.6514,128.1045,1.9045,190.4476,122.1041,1.8755,187.5529,124.0933,1.8203,182.0346,125.617,5.7369,182.3351,7.0167,,,,,,,,
0.15,I2959,0.005,90,1500,27G,2,172.1095664,2.01995317,201.995317,175.1093,1.8902,189.0245,155.3819,1.9103,191.0329,150.1093,1.9588,195.8834,159.1082,2.1309,213.0942,161.0938,2.052,205.1985,162.152,9.6777,199.3715,9.1423,,,,,,,,
0.175,I2959,0.005,30,1500,27G,2,105.1092718,1.10481922,110.481922,112.132,1.1509,115.0892,108.9035,1.0248,102.482,109.0982,1.1875,118.7503,121.4478,1.2655,126.5538,117.0938,1.1718,117.1846,112.2974,6.0031,115.0903,8.1167,,,,,,,,
0.175,I2959,0.005,50,1500,27G,2,144.803172,1.55473671,155.473671,151.0914,1.7185,171.8477,162.5581,1.5511,155.1093,139.1971,1.4271,142.7139,145.884,1.4475,144.7509,142.8972,1.5628,156.282,147.7385,8.2379,154.3629,10.3854,,,,,,,,
0.175,I2959,0.005,70,1500,27G,2,202.198433,2.10338152,210.338152,213.1972,2.2039,220.3872,251.091,2.2901,229.0145,248.0926,2.1138,211.3812,237.1933,2.2318,223.1756,232.144,1.902,190.1985,230.6528,19.397,214.0825,13.6906,,,,,,,,
0.175,I2959,0.005,90,1500,27G,2,271.1904338,3.10448129,310.448129,247.0192,2.7945,279.4475,268.1904,2.8042,280.418,248.091,2.6438,264.3819,255.1918,2.617,261.7038,283.9175,2.8408,284.0819,262.2667,14.608,280.0802,17.452,,,,,,,,
0.1,LAP,0.0025,30,1500,27G,2,22.10194318,0.412566803,41.25668031,29.0518,0.4571,45.7128,25.1071,0.3702,37.0242,27.011,0.3519,35.1903,26.1984,0.4305,43.0544,28.5532,0.4042,40.4238,26.3372,2.5378,40.4437,3.8609,,NEGATIVE,POSITIVE,POSITIVE,-0.97,0.16,3.46,0.6
0.1,LAP,0.0025,50,1500,27G,2,31.094218,0.57033815,57.033815,35.0209,0.6178,61.778,31.2802,0.6205,62.0544,39.1204,0.6842,68.422,35.0904,0.6732,67.3202,35.2272,0.5977,59.7708,34.4722,2.9819,62.7299,4.3826,,NEGATIVE,POSITIVE,NEGATIVE,-1.23,-0.25,2.01,0.1
0.1,LAP,0.0025,70,1500,27G,2,81.09448203,1.01884932,101.884932,65.7019,0.9571,95.7132,71.0544,0.9103,91.0277,69.8719,0.972,97.1958,79.1918,1.0504,105.0419,66.039,1.0788,107.883,72.1589,6.5559,99.7911,6.2864,,NEGATIVE,POSITIVE,NEGATIVE,-0.94,-0.05,2.18,0.14
0.1,LAP,0.0025,90,1500,27G,2,119.104482,1.02319954,102.319954,124.052,1.1204,112.0394,121.1089,1.1538,115.3828,109.3571,1.0574,105.7408,125.091,1.0845,108.4481,125.0345,1.181,118.0954,120.6247,6.0107,110.3377,5.9585,,NEGATIVE,POSITIVE,BORDERLINE,-3.34,0.04,5.1,0.33
0.125,LAP,0.0025,30,1500,27G,2,41.92319182,0.942440091,94.24400913,48.7299,1.0774,107.7425,44.1029,0.9133,91.3342,37.7746,1.0124,101.2436,51.3267,1.1224,112.2428,39.4757,1.0499,104.9908,43.8888,5.2825,101.9663,8.0165,,NEGATIVE,POSITIVE,BORDERLINE,-3.97,-0.04,4.97,0.26
0.125,LAP,0.0025,50,1500,27G,2,44.013829,1.419147015,141.9147015,41.6608,1.1491,114.9079,54.3189,1.334,133.3981,53.2193,1.3267,132.6696,48.3403,1.4491,144.9131,45.6583,1.219,121.9034,47.8686,5.0743,131.6178,11.4949,,NEGATIVE,POSITIVE,NEGATIVE,-1.22,-0.22,2.28,-0.05
0.125,LAP,0.0025,70,1500,27G,2,76.73628931,1.280089361,128.0089361,92.9932,1.0658,106.5849,89.1022,1.1033,110.3349,89.3445,1.4176,141.756,89.1057,1.3185,131.8456,96.4421,1.3426,134.2576,88.954,6.6612,125.4647,13.9662,,NEGATIVE,POSITIVE,NEGATIVE,-1.21,-0.35,2.08,-0.1
0.125,LAP,0.0025,90,1500,27G,2,116.013429,1.383074548,138.3074548,95.4492,1.5145,151.448,119.3181,1.858,185.7985,118.3971,1.9704,197.0446,119.984,1.6996,169.9607,112.649,1.7012,170.1245,113.6351,9.302,168.7806,21.5439,,POSITIVE,POSITIVE,NEGATIVE,-3.3,1.24,4.46,0.11
0.15,LAP,0.0025,30,1500,27G,2,72.81605346,1.585488211,158.5488211,80.1272,1.5944,159.4415,82.3719,1.748,174.7963,109.3308,1.8158,181.5811,95.1045,1.1502,115.0237,102.1912,1.4933,149.3329,90.3236,14.1328,156.4541,23.4448,,BORDERLINE,POSITIVE,BORDERLINE,-2,0.61,3.89,0.26
0.15,LAP,0.0025,50,1500,27G,2,97.81658805,1.820776851,182.0776851,125.0122,1.9043,190.4321,100.5657,1.8832,188.3219,102.9648,1.8958,189.5774,105.08,1.9041,190.406,103.6305,1.9457,194.5736,105.845,9.7313,189.2314,4.0861,,NEGATIVE,POSITIVE,NEGATIVE,-1.92,0.07,1.63,-0.52
0.15,LAP,0.0025,70,1500,27G,2,128.781022,2.656346493,265.6346493,128.2437,2.2412,224.1223,132.4673,2.6364,263.6357,115.7355,2.364,236.3974,131.1904,2.2134,221.3419,130.2805,2.1166,211.6581,127.7831,6.1015,237.1317,22.7283,,NEGATIVE,POSITIVE,NEGATIVE,-1.87,-0.12,1.7,-0.22
0.15,LAP,0.0025,90,1500,27G,2,179.3886792,2.461430897,246.1430897,188.4731,2.8088,280.878,145.9123,2.4103,241.0342,153.8668,2.8738,287.3752,162.1906,2.3829,238.2914,155.0945,2.4418,244.1802,164.1543,16.4197,256.317,21.8044,,BORDERLINE,POSITIVE,POSITIVE,-1.71,0.69,4.05,0.68
0.175,LAP,0.0025,30,1500,27G,2,112.195583,1.95443801,195.443801,112.0917,1.8913,189.1347,125.2049,1.8547,185.4729,109.122,1.8766,187.6605,109.1191,1.9025,190.2544,131.3014,1.7791,177.9053,116.5058,9.3993,187.6453,5.8212,,BORDERLINE,POSITIVE,BORDERLINE,-1.86,0.75,3.43,0.32
0.175,LAP,0.0025,50,1500,27G,2,124.020185,2.25193381,225.193381,119.1753,2.1037,210.3719,131.1956,2.141,214.0988,127.0905,2.3015,230.1548,118.4517,2.4218,242.1795,114.0911,2.3761,237.6092,122.3374,6.2768,226.6013,12.6346,,NEGATIVE,POSITIVE,NEGATIVE,-1.97,-0.14,1.78,-0.23
0.175,LAP,0.0025,70,1500,27G,2,151.190438,2.85190024,285.190024,144.1095,3.0319,303.1908,162.338,2.7519,275.1918,156.7029,2.8804,288.0439,161.338,2.9035,290.3545,155.3088,2.9704,297.043,155.1646,6.7818,289.8357,9.6934,,NEGATIVE,POSITIVE,NEGATIVE,-2.06,-0.24,1.63,-0.6
0.175,LAP,0.0025,90,1500,27G,2,239.1044819,3.25441291,325.441291,249.0306,3.3189,331.8905,256.8414,3.2672,326.7158,257.091,3.2671,326.7056,282.0345,3.7019,370.1935,271.4439,3.3628,336.2756,259.2576,15.4179,336.2037,17.1463,,BORDERLINE,POSITIVE,BORDERLINE,-3.71,0.61,4.15,0.35
0.1,LAP,0.005,30,1500,27G,2,41.30345582,0.554109287,55.41092874,45.0919,0.6218,62.1788,39.5033,0.5934,59.3379,47.2488,0.6193,61.9281,45.272,0.6409,64.0902,47.2319,0.642,64.1955,44.2752,3.189,61.1903,3.3405,,POSITIVE,POSITIVE,POSITIVE,-2.22,1.37,4.13,0.88
0.1,LAP,0.005,50,1500,27G,2,55.04193219,0.801243194,80.12431944,58.0423,0.8502,85.0209,55.9028,0.7022,70.2198,61.1975,0.7902,79.0205,67.0209,0.7738,77.3829,65.0244,0.7533,75.3329,60.3716,4.906,77.8502,4.9546,,NEGATIVE,NEGATIVE,NEGATIVE,-0.82,-0.56,0.37,-0.3
0.1,LAP,0.005,70,1500,27G,2,132.014482,1.12009654,112.009654,129.5037,1.2349,123.491,153.095,1.1599,115.9938,124.0927,1.1401,114.0089,129.1096,1.2119,121.1933,135.011,0.9655,96.5548,133.8044,10.1158,113.8753,9.5289,,NEGATIVE,POSITIVE,NEGATIVE,-0.85,-0.32,0.96,-0.13
0.1,LAP,0.005,90,1500,27G,2,153.201922,1.394129,139.4129,148.1202,1.5544,155.4371,162.0134,1.6029,160.2902,183.2905,1.4484,144.8417,161.0916,1.4037,140.3718,147.2038,1.3567,135.6671,159.1536,13.3752,146.0035,9.7616,,POSITIVE,POSITIVE,POSITIVE,-1.89,1.37,3.74,0.7
0.125,LAP,0.005,30,1500,27G,2,95.41203381,1.53102981,153.102981,82.1095,1.5208,152.0847,87.9941,1.618,161.8044,85.1092,1.4219,142.1919,86.0911,1.6721,167.2088,74.0658,1.492,149.202,85.1303,7.0198,154.2658,8.9653,,POSITIVE,POSITIVE,NEGATIVE,-2.58,1.12,4.03,0.23
0.125,LAP,0.005,50,1500,27G,2,124.1908716,1.95031766,195.031766,101.981,2.0124,201.2376,137.5509,1.8601,186.0136,121.1085,1.7599,175.9923,129.4483,1.8422,184.2231,126.0319,1.8511,185.1093,123.3853,11.903,187.9346,8.8928,,NEGATIVE,POSITIVE,NEGATIVE,-1.3,-0.41,1.42,-0.51
0.125,LAP,0.005,70,1500,27G,2,159.5704403,2.52260026,252.260026,188.1483,2.7759,277.5941,182.7024,2.4076,240.7599,192.6058,2.3761,237.6076,155.0221,2.8901,289.0085,165.4413,3.012,301.1984,173.915,15.8976,266.4048,26.5848,,NEGATIVE,POSITIVE,NEGATIVE,-1.09,-0.44,1.14,-0.61
0.125,LAP,0.005,90,1500,27G,2,226.1914383,3.12550219,312.550219,181.0947,2.892,289.198,202.1955,3.2811,328.1095,189.1953,3.1419,314.1928,172.589,3.0092,300.922,182.2042,2.761,276.1044,192.245,19.3503,303.5128,18.7807,,BORDERLINE,POSITIVE,NEGATIVE,-4.11,0.56,4.29,0.13
0.15,LAP,0.005,30,1500,27G,2,121.194482,3.02193348,302.193348,136.9038,3.1205,312.0519,114.1956,3.2955,329.5519,99.2038,2.8919,289.1905,102.7709,2.7055,270.5538,121.0401,2.9508,295.083,115.8848,13.7815,299.7708,20.1552,,NEGATIVE,POSITIVE,POSITIVE,-1.59,0.41,4.24,0.52
0.15,LAP,0.005,50,1500,27G,2,161.834092,3.19048138,319.048138,182.9045,2.8233,282.3318,159.4092,3.013,301.3045,171.8905,3.2917,329.1746,175.338,3.1215,312.1503,168.091,3.2219,322.1905,169.9112,8.7297,311.0333,16.9558,,NEGATIVE,POSITIVE,NEGATIVE,-4.03,0.07,3.68,-0.25
0.15,LAP,0.005,70,1500,27G,2,192.048013,3.10924825,310.924825,201.1956,3.4188,341.8809,212.0481,3.1917,319.1678,219.1984,3.403,340.298,195.1094,3.5509,355.0918,202.5547,3.3821,338.2052,203.6924,10.2669,334.2614,16.2257,,NEGATIVE,POSITIVE,NEGATIVE,-3.9,0.07,3.7,-0.32
0.15,LAP,0.005,90,1500,27G,2,231.091529,3.62190425,362.190425,244.1842,3.7128,371.2805,252.0901,3.448,344.8032,219.3382,3.519,351.9038,204.3911,3.7719,377.1926,228.3915,3.6052,360.5219,229.9144,17.102,361.3154,11.95,,NEGATIVE,POSITIVE,POSITIVE,-2.17,0.23,4.37,0.7
0.175,LAP,0.005,30,1500,27G,2,195.108827,2.95140922,295.140922,202.1903,3.3157,331.5673,219.1571,3.2572,325.7189,224.1911,3.0527,305.2732,219.8034,3.15,314.9982,230.1769,3.2916,329.1566,215.1046,13.5266,316.9759,14.5283,,NEGATIVE,POSITIVE,BORDERLINE,-2.47,0.15,3.52,0.4
0.175,LAP,0.005,50,1500,27G,2,342.1904773,3.35103381,335.103381,362.1089,3.5902,359.0247,303.2079,3.3105,331.0538,314.5529,3.5156,351.5572,351.603,3.8103,381.0347,342.1901,3.3212,332.1185,335.9755,22.5258,348.3154,19.65,,NEGATIVE,POSITIVE,NEGATIVE,-3.29,0.14,3.22,-0.6
0.175,LAP,0.005,70,1500,27G,2,445.0219332,4.32080319,432.080319,428.0517,3.9512,395.1198,395.9034,4.092,409.1956,429.5019,4.068,406.8029,441.9039,4.192,419.1956,415.8847,3.904,390.3981,426.0446,18.1072,408.7987,15.362,,NEGATIVE,POSITIVE,NEGATIVE,-3.03,-0.03,3,-0.59
0.175,LAP,0.005,90,1500,27G,2,512.043382,6.02154431,602.154431,531.1918,5.9208,592.0759,505.9902,5.5218,552.1805,513.1979,5.8219,582.1945,540.0988,5.7104,571.04,492.1956,5.8109,581.0937,515.7863,17.3299,580.1232,17.3019,,NEGATIVE,POSITIVE,NEGATIVE,-2.5,0.13,3.02,-0.01